3	161	260	664
3	67	341	844
3	251	564	1883
3	25	799	1652
3	305	889	970
3	209	1033	1218
3	760	1067	1978
3	148	860	1812
3	382	1445	1630
3	283	1506	1912
3	521	792	1271
3	138	1415	1714
3	632	1171	1739
3	1038	1075	1587
3	349	1127	1511
3	914	1215	1855
3	373	1444	1640
3	369	997	1876
3	223	408	1870
3	466	604	907
3	14	50	1522
3	108	522	1079
3	525	1188	1288
3	25	394	1399
3	304	546	710
3	427	978	1451
3	1101	1466	1709
3	486	916	1947
3	43	170	1542
3	370	545	785
3	84	989	1004
3	224	635	715
3	579	793	1234
3	296	1072	1856
3	1226	1386	1588
3	165	1499	1567
3	711	1001	1670
3	152	1072	1759
3	884	1550	1907
3	412	1344	1585
3	1225	1388	1873
3	1114	1491	1887
3	46	1269	1346
3	241	871	900
3	625	1453	1959
3	861	1403	1590
3	148	1107	1224
3	208	1213	1553
3	282	762	1833
3	1006	1223	1690
3	194	322	1746
3	583	862	1566
3	1072	1248	1413
3	396	524	1452
3	810	1325	1548
3	459	601	1533
3	275	1515	1831
3	761	1343	1493
3	336	389	1351
3	173	487	1743
3	858	1067	1404
3	159	440	1244
3	144	339	1723
3	698	1219	1450
3	363	768	1782
3	372	812	1466
3	91	1209	1514
3	733	992	1307
3	526	813	1257
3	1	447	1084
3	1279	1437	1578
3	101	1016	1760
3	357	955	1592
3	295	1292	1436
3	308	837	1809
3	52	676	1552
3	390	805	1984
3	371	1280	1429
3	172	214	1368
3	23	64	270
3	238	817	1434
3	88	711	1240
3	102	187	1112
3	758	898	1547
3	190	660	1110
3	931	1304	1373
3	169	439	897
3	620	1201	1469
3	28	265	1048
3	883	1812	1968
3	1430	1517	1600
3	455	745	1567
3	302	384	419
3	1005	1035	1815
3	196	199	681
3	324	539	1391
3	662	877	1051
3	631	801	947
3	150	757	1135
3	423	1162	1364
3	200	1459	1521
3	469	502	978
3	713	1030	1055
3	720	778	1416
3	947	1361	1898
3	5	50	638
3	440	985	1020
3	1093	1100	1143
3	572	1367	1672
3	705	915	1318
3	653	1132	1371
3	422	608	1807
3	281	728	1172
3	1078	1482	1657
3	254	648	1705
3	268	806	824
3	265	1063	1961
3	151	199	901
3	914	1506	1905
3	236	821	967
3	990	1637	1829
